part,geo_curved_area_frac,geo_cyl_area_frac,geo_plane_area_frac,geo_other_area_frac,geo_min_curv_radius_rel,geo_log_curv_radius_mean,geo_log_curv_radius_std,geo_n_faces,geo_n_edges,geo_face_area_cv,geo_aspect_max,geo_aspect_mid,geo_volume_frac,geo_area_over_v23,geo_min_face_size_rel,geo_n_inner_loops,geo_hole_spacing_min_rel,geo_hole_spacing_p10_rel,geo_feat_pair_dist_min_rel,geo_feat_pair_dist_p10_rel,geo_feat_pair_dist_mean_rel,geo_dihedral_p10,geo_dihedral_p50,geo_dihedral_p90,geo_singular_lambda_min
stepped_shaft_s1,0.9402412439020974,0.9402412439020974,0.059758756097902654,0.0,0.040286059615027625,-1.3309266638846156,0.06305870996301019,5.0,12.0,1.1032980948612325,9.174454259468906,1.0,0.5897162428487157,8.528830698581519,0.06336778684993906,0.0,1.0,1.0,0.429524302910361,0.429524302910361,0.6589462604552411,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
stepped_shaft_s2,0.9327906442762444,0.9327906442762444,0.06720935572375565,0.0,0.037791470892404436,-1.3189341799355239,0.09135377768033537,5.0,12.0,1.103725779361019,8.541396794685985,1.0,0.5416871171091932,8.417151236954597,0.06698363811462596,0.0,1.0,1.0,0.451300196759324,0.451300196759324,0.6578468548920483,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
stepped_shaft_s3,0.9354278285113381,0.9354278285113381,0.06457217148866211,0.0,0.04029464658097955,-1.3050769413057728,0.07675513432383926,5.0,12.0,1.116910656732386,8.560556319192072,1.0,0.5800250779318142,8.358045520798978,0.07142040150333401,0.0,1.0,1.0,0.4818998033211806,0.4818998033211806,0.6578527553486538,1.5707963267948966,1.5707963267948966,1.5707963267948966,0.544483736782464
tube_s0,0.9789892308862943,0.9789892308862943,0.0210107691137057,0.0,0.05834978750055914,-1.1573292667111224,0.06574849175666626,4.0,12.0,0.9808160756680605,6.14724252421985,1.0,0.35977911725775547,20.175048090722697,0.09509100154211607,1.0,1.0,1.0,0.9745398928099888,0.9745398928099888,0.9745398928099888,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
tube_s1,0.985926061057537,0.985926061057537,0.014073938942462982,0.0,0.059773370914424036,-1.1731449491071835,0.0453310008602983,4.0,12.0,0.9827284215684977,6.631920278565513,1.0,0.26925322127349155,25.99615762001544,0.07652179627209486,1.0,1.0,1.0,0.9780091398598393,0.9780091398598393,0.9780091398598393,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
tube_s2,0.9841273168827265,0.9841273168827265,0.0158726831172735,0.0,0.055134475169776855,-1.1969993879838001,0.05428775519022183,4.0,12.0,0.9838416644700504,6.905315375300282,1.0,0.31091939454054546,23.54002772709575,0.07910765947074985,1.0,1.0,1.0,0.9796649147378443,0.9796649147378443,0.9796649147378443,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
tube_s3,0.9758510364062681,0.9758510364062681,0.02414896359373166,0.0,0.06938393960036857,-1.085113184594372,0.06350933422166101,4.0,12.0,0.9730176783373102,5.171806063034297,1.0,0.3506142182945384,19.5275045698253,0.11043690984435588,1.0,1.0,1.0,0.9645869282697042,0.9645869282697042,0.9645869282697042,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.0
twisted_loft_s0,0.8493751457086943,0.0,0.1506248542913057,0.8493751457086943,1.0,0.0,0.0,3.0,6.0,1.0947025903560843,3.712228335748867,1.0019934372355308,0.4124554100953179,7.475171185784671,0.21469132641575867,0.0,1.0,1.0,1.0,1.0,1.0,1.3814729155429708,1.3814729155429708,1.3814729155429708,1.0
twisted_loft_s1,0.8675801796052117,0.0,0.1324198203947883,0.8675801796052117,1.0,0.0,0.0,3.0,6.0,1.1334314641101764,3.83953330036368,1.021266187849943,0.45541242553057515,7.323813197522701,0.19531750063225053,0.0,1.0,1.0,1.0,1.0,1.0,1.4588235908157838,1.4588235908157838,1.4588235908157838,1.0
twisted_loft_s2,0.8574212878148652,0.0,0.14257871218513482,0.8574212878148652,1.0,0.0,0.0,3.0,6.0,1.1117607602106587,3.734576549148401,1.0126495271420592,0.4739596150624155,7.275130147361034,0.2174620098523176,0.0,1.0,1.0,1.0,1.0,1.0,1.4400158994056402,1.4400158994056402,1.4400158994056402,1.0
twisted_loft_s3,0.8654611497476931,0.0,0.13453885025230686,0.8654611497476931,1.0,0.0,0.0,3.0,6.0,1.1292282266570288,3.7188732678469627,1.010155938899465,0.41437649296068224,7.33731276234596,0.18454953516977307,0.0,1.0,1.0,1.0,1.0,1.0,1.4288302570488884,1.4288302570488884,1.4288302570488884,1.0
